county,year,democrat,republican,other_parties,all_parties
Adams,2020,20063,40781,11544,72388
Allegheny,2020,539595,267832,134829,942256
Armstrong,2020,13659,25979,5188,44826
Beaver,2020,54281,47214,15456,116951
Bedford,2020,7264,23729,3246,34239
Berks,2020,118375,110405,43464,272244
Blair,2020,22055,48499,9941,80495
Bradford,2020,9475,24254,5133,38862
Bucks,2020,208890,198632,80496,488018
Butler,2020,43592,79579,20051,143222
Cambria,2020,38164,40727,9355,88246
Cameron,2020,933,1785,394,3112
Carbon,2020,17831,21822,7328,46981
Centre,2020,46881,44591,20626,112098
Chester,2020,157378,155381,67598,380357
Clarion,2020,6839,14807,2744,24390
Clearfield,2020,15482,28512,5705,49699
Clinton,2020,7613,11908,2866,22387
Columbia,2020,13676,20139,6073,39888
Crawford,2020,18421,31138,7029,56588
Cumberland,2020,64058,92614,30585,187257
Dauphin,2020,90046,77465,30309,197820
Delaware,2020,208138,160882,56386,425406
Elk,2020,7606,10625,2359,20590
Erie,2020,98969,74620,29100,202689
Fayette,2020,39846,34499,8028,82373
Forest,2020,1153,1971,384,3508
Franklin,2020,25023,61357,14594,100974
Fulton,2020,2013,6801,1022,9836
Greene,2020,10135,10421,2257,22813
Huntingdon,2020,7470,18021,2935,28426
Indiana,2020,17987,27196,6614,51797
Jefferson,2020,8374,20008,3658,32040
Juniata,2020,3364,9635,1491,14490
Lackwanna,2020,85956,47059,16374,149389
Lancaster,2020,115332,181333,57631,354296
Lawrence,2020,24190,26566,6711,57467
Lebanon,2020,27645,50937,14059,92641
Lehigh,2020,119239,85499,44649,249387
Luzerne,2020,106361,86369,28158,220888
Lycoming,2020,20996,42871,9899,73766
McKean,2020,6509,15780,3560,25849
Mercer,2020,29345,35758,9831,74934
Mifflin,2020,6652,17703,3006,27361
Monroe,2020,54511,40395,23394,118300
Montgomery,2020,301803,211868,95524,609195
Montour,2020,4813,6914,2290,14017
Northampton,2020,102476,81395,43562,227433
Northumberland,2020,19167,30468,7984,57619
Perry,2020,6590,19673,3771,30034
Philadelphia,2020,856949,130566,141768,1129283
Pike,2020,14847,20343,9479,44669
Potter,2020,2305,7755,1250,11310
Schuylkill,2020,30140,48777,11505,90422
Snyder,2020,5378,15390,2940,23708
Somerset,2020,13789,30659,4837,49285
Sullivan,2020,1286,2588,455,4329
Susquehanna,2020,7268,16353,3591,27212
Tioga,2020,6033,17377,3508,26918
Union,2020,7902,14046,4311,26259
Venango,2020,9736,19276,4284,33296
Warren,2020,9698,16761,4972,31431
Washington,2020,67037,68212,18758,154007
Wayne,2020,9982,20058,5665,35705
Westmoreland,2020,103415,119733,30688,253836
Wyoming,2020,5353,10861,2128,18342
York,2020,101536,159898,49674,311108
