county,year,democratic,republican,libertarian,other_parties,all_parties
Adams,2024,19474,43914,449,12171,76008
Allegheny,2024,526268,274157,5088,147030,952543
Armstrong,2024,11418,27984,237,5032,44671
Beaver,2024,48284,52318,661,16185,117448
Bedford,2024,5671,24907,120,3103,33801
Berks,2024,109012,118848,1729,47241,276830
Blair,2024,20009,50687,377,10228,81301
Bradford,2024,8277,25720,225,5090,39312
Bucks,2024,200835,206709,2699,83627,493870
Butler,2024,40520,83902,892,20406,145720
Cambria,2024,31712,46870,367,9559,88508
Cameron,2024,729,1907,15,364,3015
Carbon,2024,14787,23772,270,7184,46013
Centre,2024,45256,44287,630,19683,109856
Chester,2024,163289,157256,2114,73462,396121
Clarion,2024,5683,15906,113,2738,24440
Clearfield,2024,12763,31365,264,5690,50082
Clinton,2024,6486,13450,117,2978,23031
Columbia,2024,12481,22573,241,6188,41483
Crawford,2024,15586,32569,277,6720,55152
Cumberland,2024,63195,91474,1138,31507,187314
Dauphin,2024,88560,78818,1139,35234,203751
Delaware,2024,209103,151039,1622,62474,424238
Elk,2024,6207,12156,84,2395,20842
Erie,2024,81825,73053,1058,27101,183037
Fayette,2024,32218,41149,339,8448,82154
Forest,2024,829,2053,10,372,3264
Franklin,2024,24011,64803,584,15544,104942
Fulton,2024,1501,7334,49,998,9882
Greene,2024,8125,12089,87,2232,22533
Huntington,2024,6492,19202,113,2921,28718
Indiana,2024,15409,"29,541",267,"6,527","51,744"
Jefferson,2024,5808,"19,750",153,"3,088","28,799"
Juniata,2024,2741,"10,127",51,"1,434","14,353"
Lackawanna,2024,79207,"52,305",660,"18,777","150,949"
Lancaster,2024,114763,"187,151","2,184","61,891","365,989"
Lawrence,2024,20877,"30,132",267,"7,194","58,470"
Lebanon,2024,26686,"53,514",558,"15,108","95,866"
Lehigh,2024,115281,"91,614","1,383","50,442","258,720"
Luzerne,2024,88747,"91,435","1,031","28,475","209,688"
Lycoming,2024,19043,"44,579",420,"9,925","73,967"
McKean,2024,5632,"16,345",165,"3,608","25,750"
Mercer,2024,24809,"38,837",377,"9,995","74,018"
Mifflin,2024,5518,"18,558",124,"2,871","27,071"
Monroe,2024,51303,"43,697",696,"24,319","120,015"
Montgomery,2024,311238,"214,798","3,128","103,649","632,813"
Montour,2024,3903,"6,697",58,"1,922","12,580"
Northampton,2024,99689,"87,692","1,366","46,576","235,323"
Northumberland,2024,16363,"32,574",350,"7,751","57,038"
Perry,2024,6138,"21,071",192,"3,864","31,265"
Philadelphia,2024,808522,"136,137","4,268","168,368","1,117,295"
Pike,2024,14128,"22,838",244,"10,052","47,262"
Potter,2024,1845,"8,171",57,"1,200","11,273"
Schuylkill,2024,26686,"52,911",513,"12,524","92,634"
Snyder,2024,4998,"16,112",141,"2,888","24,139"
Somerset,2024,11405,"33,246",231,"4,959","49,841"
Sullivan,2024,1147,"2,872",23,531,"4,573"
Susquehanna,2024,6420,"17,445",146,"3,717","27,728"
Tioga,2024,5216,"18,313",157,"3,509","27,195"
Union,2024,8281,"14,823",114,"4,460","27,678"
Venango,2024,8519,"20,248",218,"4,289","33,274"
Warren,2024,6906,"15,834",127,"4,004","26,871"
Washington,2024,55901,"73,411",724,"18,784","148,820"
Wayne,2024,9260,"21,928",197,"5,985","37,370"
Westmoreland,2024,91183,"131,914","1,351","31,256","255,704"
Wyoming,2024,4775,"11,349",89,"2,208","18,421"
York,2024,99649,"172,079","2,178","56,841","330,747"
