county,countyfips,pct_ba,num_ba,pct_bafemale,num_bafemale,pct_bamale,num_bamale,pct_bablack,num_bablack,pct_bawhite,num_bawhite,income,pct_popbelow18,num_popbelow18,pct_pop18to39,num_pop18to39,pct_pop40up,num_pop40up,pct_black,num_black,pct_foreignborn,num_foreignborn,pct_white,num_white,pct_poverty,num_poverty,pct_unemployed,num_unemployed
adams,42001,25.8,19282,28.5,10904,22.9,8378,22.9,271,26.1,17857,"84,092",19.4,20638,27.1,28739,53.5,56738,1.8,1952,3.7,3942,88.9,94377,8.2,8336,3.4,1885
allegheny,42003,45.8,411770,45.2,211471,46.3,200299,22.9,22740,47.5,341247,"78,548",18.6,230228,30.6,379026,50.8,628923,12.5,154273,6.6,81618,76.1,941697,11.5,138617,5,33744
armstrong,42005,19,9154,21,5088,17,4066,0.2,1,19.2,8896,"65,008",18.9,12227,22.8,14739,58.3,37656,0.9,608,0.7,482,95.2,61501,11.8,7543,4.3,1335
beaver,42007,28.7,35127,29.3,18569,28.1,16558,17,1131,29.4,32346,"71,089",19.4,32226,24.5,40739,56.1,93359,6.2,10367,1.9,3080,86.9,144595,9.9,16198,5.3,4498
bedford,42009,16.1,5627,18.3,3241,13.8,2386,13.4,22,16,5369,"59,992",19.4,9234,23,10940,57.5,27339,0.7,342,1.2,582,95.5,45397,11.6,5429,3.9,885
berks,42011,27.7,82163,29.6,44832,25.7,37331,22,2720,30.6,68314,"79,777",22,95140,28.1,121738,49.9,216137,4.6,19969,9.7,42175,69.6,301447,12.2,51396,5.4,12197
blair,42013,24.4,21189,24.5,10931,24.4,10258,12.4,178,24.7,20144,"62,382",20.1,24416,26.2,31820,53.6,65041,2,2423,1.5,1837,92.1,111706,12,14128,4.4,2565
bradford,42015,20.6,8737,23.8,5114,17.3,3623,16.4,47,20.2,8164,"63,675",22.1,13248,24,14381,53.8,32229,0.9,563,1.7,1006,94.5,56595,12.6,7479,6.3,1714
bucks,42017,44.8,209914,45.2,108707,44.3,101207,33,5355,44.8,175998,"114,764",19.9,128990,24.8,160381,55.3,358090,3.8,24691,10.4,67624,81.1,525093,6.1,38944,4.4,15527
butler,42019,39.4,55869,40.8,29229,37.9,26640,21.8,289,39.1,52151,"89,843",19.3,37980,26.3,51957,54.4,107317,1.1,2113,2.4,4774,92.8,183018,8.1,15637,4.4,4506
