,county,countyfips,statepo,demvoteshare_2020,demvoteshare_2024,gopvoteshare_2020,gopvoteshare_2024,totalvotes_2020,totalvotes_2024,turnoutrate_2020,turnoutrate_2024,demvoteshare_change,gopvoteshare_change,turnout_change,ruralurban
0,Adams,42001,PA,0.322019809,0.327155812,0.66365405,0.663610882,56540,60650,0.781068685,0.797942322,0.005136003,-4.32E-05,0.016873636,rural
1,Allegheny,42003,PA,0.596144681,0.596687874,0.392262131,0.39360642,719733,720504,0.763840188,0.756400498,0.000543193,0.001344289,-0.007439689,urban
2,Armstrong,42005,PA,0.232526808,0.230421078,0.755815232,0.762305019,36370,37119,0.811359479,0.830941774,-0.00210573,0.006489787,0.019582295,rural
3,Beaver,42007,PA,0.405027517,0.392184979,0.581787467,0.599274591,94122,94843,0.804798591,0.807531844,-0.012842538,0.017487123,0.002733253,urban
4,Bedford,42009,PA,0.15837383,0.153977273,0.835025749,0.840127841,27574,28160,0.805338941,0.833111446,-0.004396558,0.005102092,0.027772505,rural
5,Berks,42011,PA,0.451955824,0.434263575,0.533891213,0.556033702,205540,209838,0.754984499,0.758003107,-0.017692249,0.022142489,0.003018607,urban
6,Blair,42013,PA,0.277317399,0.279095906,0.712414498,0.713667647,63595,64949,0.790049071,0.798870863,0.001778507,0.001253149,0.008821791,rural
7,Bradford,42015,PA,0.266786034,0.256155424,0.716204118,0.735348807,30159,31192,0.776053729,0.793447293,-0.01063061,0.019144689,0.017393565,rural
8,Bucks,42017,PA,0.516644205,0.494805849,0.472869567,0.495531484,396234,401028,0.81192497,0.812011258,-0.021838356,0.022661917,8.63E-05,urban
9,Butler,42019,PA,0.3310357,0.334823781,0.656272892,0.656892292,113305,121440,0.791114494,0.833379083,0.003788081,0.000619401,0.04226459,rural
10,Cambria,42021,PA,0.307903761,0.297697368,0.681341571,0.694556905,70574,71136,0.799741631,0.803723957,-0.010206392,0.013215335,0.003982326,rural
11,Cameron,42023,PA,0.260476582,0.242451555,0.727608874,0.745380802,2434,2219,0.782133676,0.735986733,-0.018025027,0.017771928,-0.046146943,rural
