county,year,state_po,county_fips,totalvotes,democrat,other,republican,democrat_reg,republican_reg,other_parties_reg,all_parties_reg
Adams,2020,PA,42001.0,56540,18207.0,810.0,37523.0,20063.0,40781,11544.0,72388
Adams,2024,PA,42001.0,60650,19842.0,560.0,40248.0,19474.0,43914,12620.0,76008
Allegheny,2020,PA,42003.0,719733,429065.0,8344.0,282324.0,539595.0,267832,134829.0,942256
Allegheny,2024,PA,42003.0,720504,429916.0,6993.0,283595.0,526268.0,274157,152118.0,952543
Armstrong,2020,PA,42005.0,36370,8457.0,424.0,27489.0,13659.0,25979,5188.0,44826
Armstrong,2024,PA,42005.0,37119,8553.0,270.0,28296.0,11418.0,27984,5269.0,44671
Beaver,2020,PA,42007.0,94122,38122.0,1241.0,54759.0,54281.0,47214,15456.0,116951
Beaver,2024,PA,42007.0,94843,37196.0,810.0,56837.0,48284.0,52318,16846.0,117448
Bedford,2020,PA,42009.0,27574,4367.0,182.0,23025.0,7264.0,23729,3246.0,34239
Bedford,2024,PA,42009.0,28160,4336.0,166.0,23658.0,5671.0,24907,3223.0,33801
Berks,2020,PA,42011.0,205540,92895.0,2909.0,109736.0,118375.0,110405,43464.0,272244
Berks,2024,PA,42011.0,209838,91125.0,2036.0,116677.0,109012.0,118848,48970.0,276830
Blair,2020,PA,42013.0,63595,17636.0,653.0,45306.0,22055.0,48499,9941.0,80495
Blair,2024,PA,42013.0,64949,18127.0,470.0,46352.0,20009.0,50687,10605.0,81301
Bradford,2020,PA,42015.0,30159,8046.0,513.0,21600.0,9475.0,24254,5133.0,38862
Bradford,2024,PA,42015.0,31192,7990.0,265.0,22937.0,8277.0,25720,5315.0,39312
Bucks,2020,PA,42017.0,396234,204712.0,4155.0,187367.0,208890.0,198632,80496.0,488018
Bucks,2024,PA,42017.0,401028,198431.0,3875.0,198722.0,200835.0,206709,86326.0,493870
Butler,2020,PA,42019.0,113305,37508.0,1438.0,74359.0,43592.0,79579,20051.0,143222
Butler,2024,PA,42019.0,121440,40661.0,1006.0,79773.0,40520.0,83902,21298.0,145720
Cambria,2020,PA,42021.0,70574,21730.0,759.0,48085.0,38164.0,40727,9355.0,88246
Cambria,2024,PA,42021.0,71136,21177.0,551.0,49408.0,31712.0,46870,9926.0,88508
Cameron,2020,PA,42023.0,2434,634.0,29.0,1771.0,933.0,1785,394.0,3112
Cameron,2024,PA,42023.0,2219,538.0,27.0,1654.0,729.0,1907,379.0,3015
Carbon,2020,PA,42025.0,33629,11212.0,433.0,21984.0,17831.0,21822,7328.0,46981
Carbon,2024,PA,42025.0,35395,11394.0,293.0,23708.0,14787.0,23772,7454.0,46013
Centre,2020,PA,42027.0,77493,40055.0,1066.0,36372.0,46881.0,44591,20626.0,112098
Centre,2024,PA,42027.0,80792,41119.0,844.0,38829.0,45256.0,44287,20313.0,109856
Chester,2020,PA,42029.0,314502,182372.0,3565.0,128565.0,157378.0,155381,67598.0,380357
Chester,2024,PA,42029.0,324964,184281.0,3384.0,137299.0,163289.0,157256,75576.0,396121
Clarion,2020,PA,42031.0,19493,4678.0,237.0,14578.0,6839.0,14807,2744.0,24390
Clarion,2024,PA,42031.0,19733,4562.0,135.0,15036.0,5683.0,15906,2851.0,24440
Clearfield,2020,PA,42033.0,39422,9673.0,546.0,29203.0,15482.0,28512,5705.0,49699
Clearfield,2024,PA,42033.0,40430,9647.0,302.0,30481.0,12763.0,31365,5954.0,50082
Clinton,2020,PA,42035.0,17625,5502.0,221.0,11902.0,7613.0,11908,2866.0,22387
Clinton,2024,PA,42035.0,18522,5395.0,162.0,12965.0,6486.0,13450,3095.0,23031
Columbia,2020,PA,42037.0,31171,10532.0,541.0,20098.0,13676.0,20139,6073.0,39888
Columbia,2024,PA,42037.0,32576,11083.0,303.0,21190.0,12481.0,22573,6429.0,41483
Crawford,2020,PA,42039.0,42004,12924.0,521.0,28559.0,18421.0,31138,7029.0,56588
Crawford,2024,PA,42039.0,42872,12858.0,329.0,29685.0,15586.0,32569,6997.0,55152
Cumberland,2020,PA,42041.0,141595,62245.0,2138.0,77212.0,64058.0,92614,30585.0,187257
Cumberland,2024,PA,42041.0,148396,66255.0,1874.0,80267.0,63195.0,91474,32645.0,187314
Dauphin,2020,PA,42043.0,147368,78983.0,1977.0,66408.0,90046.0,77465,30309.0,197820
Dauphin,2024,PA,42043.0,149526,78327.0,1725.0,69474.0,88560.0,78818,36373.0,203751
Delaware,2020,PA,42045.0,327931,206423.0,2976.0,118532.0,208138.0,160882,56386.0,425406
Delaware,2024,PA,42045.0,328172,201324.0,3427.0,123421.0,209103.0,151039,64096.0,424238
Elk,2020,PA,42047.0,16906,4522.0,244.0,12140.0,7606.0,10625,2359.0,20590
Elk,2024,PA,42047.0,17153,4483.0,127.0,12543.0,6207.0,12156,2479.0,20842
Erie,2020,PA,42049.0,137083,68286.0,1928.0,66869.0,98969.0,74620,29100.0,202689
Erie,2024,PA,42049.0,137595,67456.0,1273.0,68866.0,81825.0,73053,28159.0,183037
Fayette,2020,PA,42051.0,62139,20444.0,468.0,41227.0,39846.0,34499,8028.0,82373
Fayette,2024,PA,42051.0,63472,19548.0,291.0,43633.0,32218.0,41149,8787.0,82154
Forest,2020,PA,42053.0,2646,728.0,36.0,1882.0,1153.0,1971,384.0,3508
Forest,2024,PA,42053.0,2650,724.0,24.0,1902.0,829.0,2053,382.0,3264
Franklin,2020,PA,42055.0,80783,22422.0,1116.0,57245.0,25023.0,61357,14594.0,100974
Franklin,2024,PA,42055.0,83884,23543.0,737.0,59604.0,24011.0,64803,16128.0,104942
Fulton,2020,PA,42057.0,7977,1085.0,68.0,6824.0,2013.0,6801,1022.0,9836
Fulton,2024,PA,42057.0,8177,1102.0,36.0,7039.0,1501.0,7334,1047.0,9882
Greene,2020,PA,42059.0,17669,4911.0,179.0,12579.0,10135.0,10421,2257.0,22813
Greene,2024,PA,42059.0,17236,4592.0,325.0,12319.0,8125.0,12089,2319.0,22533
Huntingdon,2020,PA,42061.0,22792,5445.0,286.0,17061.0,7470.0,18021,2935.0,28426
Huntingdon,2024,PA,42061.0,23156,5368.0,161.0,17627.0,6492,19202,3034,28718
Indiana,2020,PA,42063.0,41198,12634.0,475.0,28089.0,17987.0,27196,6614.0,51797
