County,FIPS,Percentbaall,edbachall
Adams County,42001,25.8,19282
Allegheny County,42003,45.8,411770
Armstrong County,42005,19,9154
Beaver County,42007,28.7,35127
Bedford County,42009,16.1,5627
Berks County,42011,27.7,82163
Blair County,42013,24.4,21189
Bradford County,42015,20.6,8737
Bucks County,42017,44.8,209914
Butler County,42019,39.4,55869
Cambria County,42021,23.9,22629
Cameron County,42023,12.6,428
Carbon County,42025,19.2,9296
Centre County,42027,46.2,45195
Chester County,42029,57.1,215329
Clarion County,42031,23.6,5960
Clearfield County,42033,20.2,11905
Clinton County,42035,21.5,5393
Columbia County,42037,26.6,11716
Crawford County,42039,21.1,12359
Cumberland County,42041,40,74706
Dauphin County,42043,34.4,69288
Delaware County,42045,41.9,165724
Elk County,42047,20.6,4664
Erie County,42049,30.3,56478
Fayette County,42051,19.1,17743
Forest County,42053,12.3,724
Franklin County,42055,24.7,27519
Fulton County,42057,17.7,1889
Greene County,42059,21.7,5433
Huntingdon County,42061,19.2,6103
Indiana County,42063,27,14671
Jefferson County,42065,18.4,5767
Juniata County,42067,15,2464
Lackawanna County,42069,30.6,46745
Lancaster County,42071,32.4,123275
Lawrence County,42073,23.4,14341
Lebanon County,42075,24.3,24194
Lehigh County,42077,34.2,89104
Luzerne County,42079,25.3,59052
Lycoming County,42081,24.8,19803
McKean County,42083,20.8,5943
Mercer County,42085,25.6,20110
Mifflin County,42087,14.9,4840
Monroe County,42089,27.4,32905
Montgomery County,42091,53,325577
Montour County,42093,38.7,5168
Northampton County,42095,34.7,77720
Northumberland County,42097,19.4,12884
Perry County,42099,20.2,6763
Philadelphia County,42101,35.4,385517
Pike County,42103,29.7,13695
Potter County,42105,18.2,2161
Schuylkill County,42107,19.9,20737
Snyder County,42109,20.6,5517
Somerset County,42111,17.9,9788
Sullivan County,42113,21.5,1048
Susquehanna County,42115,19.5,5547
Tioga County,42117,22.3,6546
Union County,42119,26.5,7725
Venango County,42121,19.1,7074
Warren County,42123,19.9,5571
Washington County,42125,32.9,50236
Wayne County,42127,23.4,9294
Westmoreland County,42129,32.8,86280
Wyoming County,42131,22.1,4155
York County,42133,27.6,89837
