County,FIPS,Percentbafemale,edbachfemale
Adams County,42001,28.5,10904
Allegheny County,42003,45.2,211471
Armstrong County,42005,21,5088
Beaver County,42007,29.3,18569
Bedford County,42009,18.3,3241
Berks County,42011,29.6,44832
Blair County,42013,24.5,10931
Bradford County,42015,23.8,5114
Bucks County,42017,45.2,108707
Butler County,42019,40.8,29229
Cambria County,42021,25.5,12234
Cameron County,42023,12.9,213
Carbon County,42025,21.4,5202
Centre County,42027,46.9,21891
Chester County,42029,57.4,109928
Clarion County,42031,23.8,3023
Clearfield County,42033,22.4,6362
Clinton County,42035,23.4,2934
Columbia County,42037,28.6,6463
Crawford County,42039,22.8,6875
Cumberland County,42041,41,38577
Dauphin County,42043,34,35630
Delaware County,42045,42.6,88636
Elk County,42047,22.3,2496
Erie County,42049,32.2,30616
Fayette County,42051,20.5,9674
Forest County,42053,17.3,312
Franklin County,42055,25.6,14638
Fulton County,42057,19.5,1017
Greene County,42059,25.6,3050
Huntingdon County,42061,23.2,3349
Indiana County,42063,28.2,7687
Jefferson County,42065,20.5,3215
Juniata County,42067,18,1468
Lackawanna County,42069,30.9,24428
Lancaster County,42071,33.6,66129
Lawrence County,42073,23.7,7545
Lebanon County,42075,25.8,13176
Lehigh County,42077,34.9,46916
Luzerne County,42079,27,31862
Lycoming County,42081,25.9,10660
McKean County,42083,24.6,3406
Mercer County,42085,27.8,11183
Mifflin County,42087,16.2,2695
Monroe County,42089,30.4,18367
Montgomery County,42091,54.1,171649
Montour County,42093,39.6,2756
Northampton County,42095,35.3,40622
Northumberland County,42097,22.8,7495
Perry County,42099,22.2,3710
Philadelphia County,42101,36,211522
Pike County,42103,31.9,7301
Potter County,42105,21.3,1271
Schuylkill County,42107,21.5,10869
Snyder County,42109,22.8,3092
Somerset County,42111,20.5,5339
Sullivan County,42113,23.8,568
Susquehanna County,42115,21.1,2983
Tioga County,42117,25.6,3778
Union County,42119,30.8,4091
Venango County,42121,21.3,4007
Warren County,42123,22.3,3117
Washington County,42125,32.8,25552
Wayne County,42127,26.1,4801
Westmoreland County,42129,33,44502
Wyoming County,42131,24.5,2307
York County,42133,29.2,48528
