County,FIPS,Percentbamale,edbachmale
Adams County,42001,22.9,8378
Allegheny County,42003,46.3,200299
Armstrong County,42005,17,4066
Beaver County,42007,28.1,16558
Bedford County,42009,13.8,2386
Berks County,42011,25.7,37331
Blair County,42013,24.4,10258
Bradford County,42015,17.3,3623
Bucks County,42017,44.3,101207
Butler County,42019,37.9,26640
Cambria County,42021,22.3,10395
Cameron County,42023,12.3,215
Carbon County,42025,17,4094
Centre County,42027,45.6,23304
Chester County,42029,56.9,105401
Clarion County,42031,23.4,2937
Clearfield County,42033,18.2,5543
Clinton County,42035,19.6,2459
Columbia County,42037,24.6,5253
Crawford County,42039,19.2,5484
Cumberland County,42041,39,36129
Dauphin County,42043,34.9,33658
Delaware County,42045,41.3,77088
Elk County,42047,18.9,2168
Erie County,42049,28.3,25862
Fayette County,42051,17.6,8069
Forest County,42053,10.1,412
Franklin County,42055,23.9,12881
Fulton County,42057,16,872
Greene County,42059,18.1,2383
Huntingdon County,42061,15.9,2754
Indiana County,42063,25.7,6984
Jefferson County,42065,16.3,2552
Juniata County,42067,12.1,996
Lackawanna County,42069,30.3,22317
Lancaster County,42071,31.1,57146
Lawrence County,42073,23,6796
Lebanon County,42075,22.7,11018
Lehigh County,42077,33.4,42188
Luzerne County,42079,23.6,27190
Lycoming County,42081,23.6,9143
McKean County,42083,17.3,2537
Mercer County,42085,23.4,8927
Mifflin County,42087,13.6,2145
Monroe County,42089,24.3,14538
Montgomery County,42091,51.9,153928
Montour County,42093,37.6,2412
Northampton County,42095,34.1,37098
Northumberland County,42097,16,5389
Perry County,42099,18.2,3053
Philadelphia County,42101,34.7,173995
Pike County,42103,27.5,6394
Potter County,42105,15,890
Schuylkill County,42107,18.4,9868
Snyder County,42109,18.4,2425
Somerset County,42111,15.6,4449
Sullivan County,42113,19.3,480
Susquehanna County,42115,17.8,2564
Tioga County,42117,18.9,2768
Union County,42119,22.9,3634
Venango County,42121,16.8,3067
Warren County,42123,17.6,2454
Washington County,42125,33.1,24684
Wayne County,42127,21.1,4493
Westmoreland County,42129,32.5,41778
Wyoming County,42131,19.8,1848
York County,42133,25.9,41309
