County,FIPS,Percentbawhite,edbachwhite
Adams County,42001,26.1,17857
Allegheny County,42003,47.5,341247
Armstrong County,42005,19.2,8896
Beaver County,42007,29.4,32346
Bedford County,42009,16,5369
Berks County,42011,30.6,68314
Blair County,42013,24.7,20144
Bradford County,42015,20.2,8164
Bucks County,42017,44.8,175998
Butler County,42019,39.1,52151
Cambria County,42021,24.1,21288
Cameron County,42023,11.7,371
Carbon County,42025,18.8,8351
Centre County,42027,45.6,38661
Chester County,42029,58.4,177394
Clarion County,42031,22.7,5467
Clearfield County,42033,20.7,11370
Clinton County,42035,20.8,4945
Columbia County,42037,26.1,10733
Crawford County,42039,21,11673
Cumberland County,42041,39.8,62990
Dauphin County,42043,38.6,53221
Delaware County,42045,47,124727
Elk County,42047,20.5,4471
Erie County,42049,31.3,50643
Fayette County,42051,19.2,16334
Forest County,42053,13.7,629
Franklin County,42055,24.8,24612
Fulton County,42057,17.6,1772
Greene County,42059,22.2,5114
Huntingdon County,42061,20.4,5809
Indiana County,42063,27.3,13910
Jefferson County,42065,18.3,5563
Juniata County,42067,15.1,2343
Lackawanna County,42069,32.1,41973
Lancaster County,42071,33.5,107824
Lawrence County,42073,23.7,13392
Lebanon County,42075,25.7,21723
Lehigh County,42077,38.7,68980
Luzerne County,42079,27.3,52158
Lycoming County,42081,25,18274
McKean County,42083,20.7,5523
Mercer County,42085,26,18446
Mifflin County,42087,15.1,4611
Monroe County,42089,28.5,23097
Montgomery County,42091,54.7,255310
Montour County,42093,36.9,4469
Northampton County,42095,36.1,63294
Northumberland County,42097,19.9,12131
Perry County,42099,20.3,6441
Philadelphia County,42101,51.9,220560
Pike County,42103,29.1,10948
Potter County,42105,18,2050
Schuylkill County,42107,20.9,19758
Snyder County,42109,20.7,5292
Somerset County,42111,18.1,9329
Sullivan County,42113,21.5,1015
Susquehanna County,42115,19.6,5329
Tioga County,42117,22.4,6350
Union County,42119,27.9,7169
Venango County,42121,19.2,6768
Warren County,42123,19.8,5315
Washington County,42125,33.5,47049
Wayne County,42127,24.5,8707
Westmoreland County,42129,32.8,80883
Wyoming County,42131,22.2,3983
York County,42133,28,77499
