County,FIPS,Dollars,
Adams County,42001,"84,092",
Allegheny County,42003,"78,548",
Armstrong County,42005,"65,008",
Beaver County,42007,"71,089",
Bedford County,42009,"59,992",
Berks County,42011,"79,777",
Blair County,42013,"62,382",
Bradford County,42015,"63,675",
Bucks County,42017,"114,764",
Butler County,42019,"89,843",
Cambria County,42021,"58,418",
Cameron County,42023,"50,573",
Carbon County,42025,"67,554",
Centre County,42027,"74,291",
Chester County,42029,"127,208",
Clarion County,42031,"62,649",
Clearfield County,42033,"62,152",
Clinton County,42035,"60,816",
Columbia County,42037,"64,644",
Crawford County,42039,"60,476",
Cumberland County,42041,"87,494",
Dauphin County,42043,"76,242",
Delaware County,42045,"89,546",
Elk County,42047,"66,380",
Erie County,42049,"63,354",
Fayette County,42051,"58,236",
Forest County,42053,"52,191",
Franklin County,42055,"77,003",
Fulton County,42057,"65,836",
Greene County,42059,"68,041",
Huntingdon County,42061,"65,557",
Indiana County,42063,"60,208",
Jefferson County,42065,"58,686",
Juniata County,42067,"66,318",
Lackawanna County,42069,"66,223",
Lancaster County,42071,"86,959",
Lawrence County,42073,"61,931",
Lebanon County,42075,"78,425",
Lehigh County,42077,"80,079",
Luzerne County,42079,"63,691",
Lycoming County,42081,"63,917",
McKean County,42083,"62,905",
Mercer County,42085,"59,976",
Mifflin County,42087,"63,953",
Monroe County,42089,"83,565",
Montgomery County,42091,"113,915",
Montour County,42093,"76,976",
Northampton County,42095,"89,184",
Northumberland County,42097,"60,583",
Perry County,42099,"79,444",
Philadelphia County,42101,"61,953",
Pike County,42103,"81,323",
Potter County,42105,"59,020",
Schuylkill County,42107,"68,313",
Snyder County,42109,"66,876",
Somerset County,42111,"61,446",
Sullivan County,42113,"69,764",
Susquehanna County,42115,"68,487",
Tioga County,42117,"64,899",
Union County,42119,"76,404",
Venango County,42121,"61,522",
Warren County,42123,"60,480",
Washington County,42125,"78,958",
Wayne County,42127,"62,381",
Westmoreland County,42129,"74,109",
Wyoming County,42131,"72,460",
York County,42133,"84,829",
