County,FIPS,Percent40up,Age40up
Adams County,42001,53.5,56738
Allegheny County,42003,50.8,628923
Armstrong County,42005,58.3,37656
Beaver County,42007,56.1,93359
Bedford County,42009,57.5,27339
Berks County,42011,49.9,216137
Blair County,42013,53.6,65041
Bradford County,42015,53.8,32229
Bucks County,42017,55.3,358090
Butler County,42019,54.4,107317
Cambria County,42021,56.3,74074
Cameron County,42023,64.2,2842
Carbon County,42025,57.2,37378
Centre County,42027,43.1,68372
Chester County,42029,50.9,278936
Clarion County,42031,52.1,19354
Clearfield County,42033,56.5,44417
Clinton County,42035,49.7,18789
Columbia County,42037,51.2,33437
Crawford County,42039,54.8,45296
Cumberland County,42041,50.3,134950
Dauphin County,42043,49.2,142573
Delaware County,42045,48.8,282639
Elk County,42047,58.8,17935
Erie County,42049,50.2,135163
Fayette County,42051,56.2,70815
Forest County,42053,60.6,4067
Franklin County,42055,52.5,82631
Fulton County,42057,57.3,8327
Greene County,42059,53.8,18724
Huntingdon County,42061,54.7,23887
Indiana County,42063,50,41550
Jefferson County,42065,54.5,23888
Juniata County,42067,53.1,12419
Lackawanna County,42069,52.3,113007
Lancaster County,42071,49.3,275095
Lawrence County,42073,55.6,47282
Lebanon County,42075,51.5,74252
Lehigh County,42077,49.4,186966
Luzerne County,42079,52.5,171900
Lycoming County,42081,52,59042
McKean County,42083,54.8,21872
Mercer County,42085,55.5,60680
Mifflin County,42087,53.9,24837
Monroe County,42089,54.6,91506
Montgomery County,42091,51.7,448922
Montour County,42093,53.9,9756
Northampton County,42095,52.3,166716
Northumberland County,42097,55.4,50168
Perry County,42099,54.5,25190
Philadelphia County,42101,43.1,680195
Pike County,42103,60,36367
Potter County,42105,58.4,9461
Schuylkill County,42107,54.4,78038
Snyder County,42109,50.9,20186
Somerset County,42111,58,42245
Sullivan County,42113,67.6,3982
Susquehanna County,42115,59,22543
Tioga County,42117,55.6,22775
Union County,42119,50.9,21599
Venango County,42121,58.5,29110
Warren County,42123,57.7,21885
Washington County,42125,55,115565
Wayne County,42127,60.1,30828
Westmoreland County,42129,58.2,205230
Wyoming County,42131,55.8,14496
York County,42133,51.4,237922
