county,fips,pct_below18,num_below18,
Adams ,42001,19.4,20638,
Allegheny ,42003,18.6,230228,
Armstrong ,42005,18.9,12227,
Beaver ,42007,19.4,32226,
Bedford ,42009,19.4,9234,
Berks ,42011,22,95140,
Blair ,42013,20.1,24416,
Bradford ,42015,22.1,13248,
Bucks ,42017,19.9,128990,
Butler ,42019,19.3,37980,
Cambria ,42021,19.2,25261,
Cameron ,42023,16.9,748,
Carbon ,42025,18.9,12375,
Centre ,42027,14.7,23235,
Chester ,42029,22,120444,
Clarion ,42031,19,7058,
Clearfield ,42033,18.2,14337,
Clinton ,42035,20.2,7620,
Columbia ,42037,17.6,11483,
Crawford ,42039,20.6,17004,
Cumberland ,42041,20.5,54926,
Dauphin ,42043,22.3,64718,
Delaware ,42045,22,127583,
Elk ,42047,19,5785,
Erie ,42049,20.7,55689,
Fayette ,42051,19.2,24221,
Forest ,42053,3.7,248,
Franklin ,42055,22,34556,
Fulton ,42057,19.7,2865,
Greene ,42059,18.9,6591,
Huntingdon ,42061,17.7,7742,
Indiana ,42063,18,14946,
Jefferson ,42065,21.4,9365,
Juniata ,42067,22.1,5161,
Lackawanna ,42069,20.5,44213,
Lancaster ,42071,23.1,128950,
Lawrence ,42073,20,17000,
Lebanon ,42075,22.5,32492,
Lehigh ,42077,22.3,84498,
Luzerne ,42079,20.3,66457,
Lycoming ,42081,20.5,23296,
McKean ,42083,19.4,7724,
Mercer ,42085,18.9,20692,
Mifflin ,42087,22.6,10428,
Monroe ,42089,19.1,32041,
Montgomery ,42091,21.3,184693,
Montour ,42093,20.1,3642,
Northampton ,42095,19.2,61011,
Northumberland ,42097,19.7,17819,
Perry ,42099,21,9699,
Philadelphia ,42101,21.2,334799,
Pike ,42103,17.2,10433,
Potter ,42105,20,3237,
Schuylkill ,42107,19.9,28557,
Snyder ,42109,20.5,8114,
Somerset ,42111,18.2,13227,
Sullivan ,42113,10.4,615,
Susquehanna ,42115,18.8,7194,
Tioga ,42117,19.6,8038,
Union ,42119,17.4,7370,
Venango ,42121,19,9469,
Warren ,42123,19.6,7447,
Washington ,42125,19.6,41070,
Wayne ,42127,16.4,8408,
Westmoreland ,42129,18.2,64150,
Wyoming ,42131,19.2,4975,
York ,42133,21.9,101294,
