County,FIPS,Percentforeign,popforeign
Adams County,42001,3.7,3942
Allegheny County,42003,6.6,81618
Armstrong County,42005,0.7,482
Beaver County,42007,1.9,3080
Bedford County,42009,1.2,582
Berks County,42011,9.7,42175
Blair County,42013,1.5,1837
Bradford County,42015,1.7,1006
Bucks County,42017,10.4,67624
Butler County,42019,2.4,4774
Cambria County,42021,1.1,1486
Cameron County,42023,0.9,38
Carbon County,42025,3.7,2448
Centre County,42027,8,12608
Chester County,42029,10.1,55147
Clarion County,42031,1,375
Clearfield County,42033,2,1544
Clinton County,42035,1.4,541
Columbia County,42037,2.8,1811
Crawford County,42039,1.2,993
Cumberland County,42041,7.5,20165
Dauphin County,42043,9.8,28406
Delaware County,42045,11.2,65024
Elk County,42047,1.1,326
Erie County,42049,4.9,13084
Fayette County,42051,1.3,1619
Forest County,42053,1.9,130
Franklin County,42055,3.7,5868
Fulton County,42057,0.5,71
Greene County,42059,0.7,236
Huntingdon County,42061,0.9,399
Indiana County,42063,2.4,2017
Jefferson County,42065,0.4,189
Juniata County,42067,2.5,574
Lackawanna County,42069,6.7,14567
Lancaster County,42071,5.8,32433
Lawrence County,42073,1.3,1125
Lebanon County,42075,4.3,6272
Lehigh County,42077,14.4,54656
Luzerne County,42079,9.6,31554
Lycoming County,42081,1.6,1806
McKean County,42083,1.5,601
Mercer County,42085,1.8,1933
Mifflin County,42087,1.2,560
Monroe County,42089,11.2,18819
Montgomery County,42091,11.5,99605
Montour County,42093,5.6,1014
Northampton County,42095,8.6,27467
Northumberland County,42097,1.6,1441
Perry County,42099,1.7,780
Philadelphia County,42101,15.2,239646
Pike County,42103,8.2,4997
Potter County,42105,1.4,227
Schuylkill County,42107,2.7,3945
Snyder County,42109,1.7,665
Somerset County,42111,1.4,989
Sullivan County,42113,1.8,105
Susquehanna County,42115,2,753
Tioga County,42117,1.4,556
Union County,42119,3.9,1637
Venango County,42121,0.8,419
Warren County,42123,1.2,437
Washington County,42125,2.4,5117
Wayne County,42127,4.3,2205
Westmoreland County,42129,1.9,6790
Wyoming County,42131,1.7,433
York County,42133,4.1,19202
